Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-533.6999	-561.9096	28.20974	1.72845	1.684886	0.5929812	1.827433
6	-537.048	-565.4212	28.37319	1.868055	1.684886	0.5929812	1.613718
12	-536.3406	-563.8379	27.49731	1.818946	2.133411	0.5503569	2.10407
18	-539.0374	-567.1192	28.08179	1.829455	2.001613	0.5632178	1.739152
24	-532.6343	-561.6478	29.01348	1.779586	2.948124	0.3829853	0.8728226
30	-531.1096	-558.9624	27.85278	1.752231	3.400658	0.5296702	1.523642
36	-523.0083	-552.0901	29.08181	1.776498	4.32476	0.2144541	0.5976293
42	-522.5455	-551.3953	28.84983	1.716915	3.976254	0.2212119	1.092273
48	-519.9067	-547.6984	27.79176	1.483024	3.853176	0.1673261	2.189003
54	-525.1101	-552.8696	27.75945	1.264187	3.344207	0.3322076	2.189003
60	-523.4149	-552.5197	29.1048	1.673517	2.694664	0.3322076	1.109579
66	-521.753	-550.6082	28.85522	1.624488	2.106711	0.4133917	1.465641
72	-523.77	-553.1239	29.35389	2.234043	2.106711	0.2873975	0.58952
78	-527.326	-557.1351	29.80911	1.94977	1.542224	0.2873975	0.8875474
84	-528.7072	-557.7589	29.05176	1.621203	3.163054	0.2873975	1.113688
90	-530.2934	-558.3234	28.03005	1.756029	2.825958	0.2873975	1.894554
96	-529.8204	-557.8892	28.06878	1.355873	2.825958	0.2093546	2.267981
102	-530.9784	-559.5051	28.52672	1.244228	2.468679	0.2675788	2.049752
108	-526.3135	-554.478	28.16443	1.391651	3.603844	0.2675788	1.870622
114	-539.4325	-567.4977	28.06519	1.466646	2.297176	0.1409906	2.501902
120	-531.4424	-556.7072	25.26479	0.9440046	2.60191	0.3754593	4.013716
126	-536.8712	-562.5358	25.66462	0.8245856	2.084268	0.4272857	3.950003
132	-531.1666	-560.5075	29.34085	1.496971	1.559981	0.2179193	1.780177
138	-536.1311	-564.5734	28.44233	1.366448	1.932552	0.2575417	2.232617
144	-541.2324	-563.8672	22.63481	1.481469	2.012373	0.8013299	5.003038
150	-533.2094	-562.0475	28.83805	1.76159	1.932552	0.3561842	1.536701
156	-531.3769	-560.4757	29.09882	1.914944	1.995942	0.366395	1.159356
162	-532.29	-559.8665	27.57651	2.344188	1.538439	0.636361	1.866676
168	-536.4788	-563.0425	26.56373	2.128657	1.538439	0.636361	2.657433
174	-535.9076	-564.2648	28.35713	2.97096	1.740292	0.4488902	0.2651982
180	-538.7025	-567.2938	28.59136	2.097299	3.829253	0.2266243	1.009696
186	-536.6687	-565.2271	28.55844	1.568242	6.192397	0.2266243	0.8949053
192	-533.8166	-562.5906	28.77397	2.138564	3.817403	0.08879733	1.243856
198	-535.5599	-564.4001	28.8402	1.838679	3.110775	0.0571528	1.736261
204	-539.6853	-567.4097	27.72437	2.199056	3.110775	0.3510602	1.613023
210	-534.2424	-562.5695	28.32708	1.689664	3.110775	0.06505533	2.156156
216	-536.2498	-564.4921	28.24225	2.087927	1.308038	0.0993088	2.505473
222	-535.9918	-564.1133	28.12154	1.967378	1.0872	0.2424803	2.478854
228	-538.4155	-566.559	28.14348	2.7844	2.777095	0.2424803	1.135223
234	-529.5935	-558.5331	28.93959	1.958472	2.582927	0.2481423	1.226468
240	-530.0352	-558.7679	28.73268	2.754562	1.901701	0.2647446	0.2087961
246	-524.4518	-553.0129	28.56115	2.740121	1.901701	0.3460748	0.2094725
252	-532.8751	-558.5326	25.65746	1.354123	2.597276	0.1645265	3.863288
258	-528.7181	-557.0927	28.37462	1.656665	2.597276	0.1912355	1.975355
264	-527.3778	-556.328	28.95018	2.495986	2.891993	0.1765942	0.3321891
270	-525.959	-555.3643	29.4053	2.44306	2.160124	0.1765942	0.38785
276	-530.6198	-557.9892	27.36934	2.439358	2.160124	1.882569	0.6292599
282	-527.5817	-555.4126	27.83089	1.100208	2.830972	0.2358406	2.531422
288	-526.3006	-552.1734	25.87277	0.7447644	3.274076	0.1996581	3.857325
294	-532.1742	-559.8807	27.70649	2.47887	1.915058	1.569794	0.4969842
300	-523.4005	-550.7879	27.38742	0.9104281	4.984874	0.1996581	2.520946
306	-531.8266	-555.648	23.8214	1.230563	2.733352	0.1996581	4.871836
312	-533.8679	-562.0524	28.18456	2.377929	0.9485784	2.019513	0.7425288
318	-536.4592	-564.1749	27.71571	2.734518	0.9485784	2.11569	0.8220362
324	-528.2641	-557.9129	29.64877	2.144369	1.667996	0.3160255	0.5844621
330	-535.2941	-563.7101	28.41596	2.531785	1.419827	0.4545754	1.392936
336	-534.4268	-562.5768	28.14996	0.9227189	1.601258	0.3496841	2.695213
342	-532.2258	-561.1988	28.97301	3.132558	1.83787	0.06513703	1.091753
348	-530.8322	-560.2204	29.38828	3.368947	1.412269	0.06513703	0.666821
354	-535.4148	-562.8801	27.46537	1.738521	2.579197	0.3105953	2.316018
360	-542.3061	-569.5693	27.26318	1.269651	1.816427	0.3138862	2.983597
366	-537.4472	-567.0425	29.59529	1.86432	1.816427	0.1219072	1.433799
372	-525.9219	-555.1691	29.24725	1.793747	2.541711	0.3670508	0.8364543
378	-527.8255	-556.5835	28.75791	2.241923	2.541711	0.2106055	1.244611
384	-527.1722	-555.8615	28.68938	2.21722	2.142994	0.1233684	1.694205
390	-533.1348	-561.7762	28.64134	2.09886	2.142994	0.7692826	0.6611619
396	-521.4572	-550.2561	28.79885	2.09886	2.142994	0.5846032	0.8033571
402	-526.4429	-555.4441	29.00128	1.752564	3.596581	0.1148924	1.347942
408	-532.5514	-559.4805	26.92907	1.951624	1.826487	0.5091582	2.539481
414	-531.3951	-559.397	28.00188	2.472346	1.705121	0.5514044	1.477719
420	-532.891	-560.1503	27.25933	2.04852	4.110407	0.362145	1.772791
426	-525.4548	-555.2398	29.78507	1.922626	2.301754	0.1175989	0.9969287
432	-525.9838	-555.5402	29.55643	1.742705	2.301754	0.2593863	0.95866
438	-527.1197	-555.3142	28.19447	2.525367	1.5614	1.182211	0.4614834
444	-536.2032	-563.5498	27.34656	3.166852	1.5614	1.35547	0.3409907
450	-537.7503	-564.3224	26.57202	3.008801	1.63134	3.012961	0.4354922
456	-540.0554	-566.4425	26.38705	3.444466	1.724053	2.302479	0.3872346
462	-532.6106	-559.5309	26.92033	0.9668672	7.559913	0.1394035	2.523236
468	-535.1028	-562.0568	26.95403	0.7204875	7.559913	0.1394035	2.655036
474	-534.4774	-561.4488	26.97142	0.9557136	6.95143	0.1372089	2.581413
480	-541.3246	-568.9455	27.62085	2.457893	2.359333	1.17519	0.8511841
486	-545.4592	-572.8274	27.36825	3.532626	2.359333	0.5201881	0.2983262
492	-533.9476	-558.7649	24.81733	0.8850365	4.968144	0.1208625	4.211806
498	-534.1943	-560.7357	26.54136	1.035153	3.188404	0.1208625	3.477253
504	-532.9157	-559.4833	26.56759	1.008919	3.188404	0.1208625	3.477253
510	-531.405	-554.7496	23.34456	0.8121748	4.719034	0.08434999	5.202897
516	-527.615	-554.9145	27.29955	0.9441409	3.651528	0.1171871	2.986138
522	-524.4719	-550.2369	25.76502	0.897893	4.492318	0.1242467	3.734747
528	-521.8449	-549.9768	28.13183	1.137931	3.647731	0.3773394	1.887721
534	-521.8203	-550.9401	29.11979	1.62996	2.440286	0.1725144	1.568829
540	-524.8013	-554.06	29.25865	1.53805	3.409035	0.1725144	1.199878
546	-526.675	-555.4442	28.76926	1.656369	3.953222	0.1725144	1.344
552	-528.6595	-557.6541	28.99452	1.739092	3.953222	0.1725144	1.081236
558	-530.0272	-560.0989	30.07175	1.739092	1.71249	0.1725144	1.042822
564	-525.9184	-555.1896	29.27124	1.992335	2.5528	0.301792	0.7149748
570	-528.0111	-555.6585	27.64743	1.446208	3.848114	0.09256947	2.485832
576	-529.4146	-556.7666	27.35203	1.629267	2.521707	0.7792684	1.98599
582	-530.2982	-559.8256	29.52738	1.629267	2.307161	0.1357248	1.409632
588	-528.2823	-557.0342	28.75192	1.578116	3.591071	0.1357248	1.609571
594	-529.4834	-558.4439	28.96045	1.78587	2.31301	0.233367	1.485386
600	-535.3403	-564.1947	28.85438	1.479406	4.071506	0.328709	1.030593
