Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-614.1559	-641.7296	27.57378	3.027068	0.7607062	1.897687	1.028379
6	-614.3362	-641.7478	27.41161	3.325269	1.229009	1.48463	0.4762282
12	-612.2782	-640.2413	27.96309	2.542153	1.510705	1.442416	0.6593849
18	-601.5535	-630.3415	28.78794	1.908919	2.771164	0.3506221	1.115924
24	-598.8037	-623.8885	25.08475	2.048325	2.601545	4.818167	1.772434
30	-601.9579	-629.2179	27.25998	1.824088	5.170543	0.7174727	1.278386
36	-610.1861	-637.6269	27.44081	3.632398	1.032324	0.7174727	1.244695
42	-613.5093	-639.5447	26.03542	3.632398	1.202398	1.997476	0.1069499
48	-610.7771	-633.3386	22.56149	5.861283	2.33935	4.753929	0.81128
54	-625.8895	-654.4394	28.54992	2.980381	1.601361	0.2693555	1.118659
60	-609.3136	-638.168	28.8544	3.131452	1.446667	0.2693555	0.7412118
66	-605.5047	-634.3126	28.80784	2.585799	0.8442546	0.1833416	1.90544
72	-613.1188	-636.8129	23.69417	2.320446	2.630938	6.568945	2.214016
78	-589.5735	-618.5928	29.01925	2.197105	2.734983	0.3165344	0.5090075
84	-599.8474	-629.2777	29.43032	2.255952	1.585014	0.2091987	1.134268
90	-603.1173	-630.8869	27.76958	4.267859	1.74388	0.1977498	0.3974428
96	-605.6568	-635.6185	29.96162	2.099594	1.075456	0.2572241	1.048976
102	-603.0861	-628.5781	25.49194	2.099594	1.075456	0.1844858	4.063844
108	-602.1367	-625.9874	23.85061	1.796411	2.345599	0.8927519	3.980062
114	-592.2381	-621.063	28.8249	1.796411	3.389487	0.2507721	1.161435
120	-608.9485	-635.2354	26.28684	3.459702	2.380113	1.837711	0.5302872
126	-622.6409	-645.5209	22.88	3.459702	4.334198	12.23682	0.5188138
132	-615.235	-638.7387	23.50373	3.459702	2.689386	12.23682	0.5188138
138	-613.4075	-637.4519	24.04442	3.484727	1.237748	13.11916	0.9018057
144	-608.6628	-634.4938	25.83101	3.484727	1.237748	4.332592	0.7501942
150	-613.1851	-638.7207	25.53561	3.043148	9.97311	0.7709555	0.3294486
156	-622.3344	-646.5015	24.16704	2.095833	5.497547	3.23877	2.04812
162	-627.026	-650.5121	23.48603	3.554965	5.87588	5.109773	0.8822969
168	-607.3102	-635.8255	28.51533	1.540734	1.182745	0.6462663	1.957076
174	-592.6767	-620.9215	28.24479	3.687063	0.7584077	0.5249182	0.9850064
180	-583.4232	-611.9289	28.50572	2.961389	1.390999	0.5847967	0.6828305
186	-573.3193	-603.3737	30.05439	2.344171	1.382919	0.1682271	0.5872898
192	-579.2662	-608.4097	29.14347	2.553554	1.099418	0.6340223	0.4774391
198	-576.2658	-603.0935	26.82768	2.553554	1.885296	0.8223168	1.916619
204	-580.104	-607.1773	27.07336	3.91487	1.524898	0.3964341	1.38416
210	-577.1759	-605.6727	28.49687	2.656829	1.309479	0.3964341	1.38416
216	-585.791	-614.6743	28.88323	2.656829	1.624835	0.3964341	0.7967652
222	-611.9389	-642.1226	30.18361	2.840031	0.9993882	0.07889331	0.7188435
228	-620.6817	-649.4645	28.78278	1.830827	0.6956013	0.4985614	2.07878
234	-615.5474	-641.9558	26.40841	4.481463	1.615833	0.3817886	1.432741
240	-619.3564	-641.7868	22.43037	3.405834	1.189157	2.116461	3.776497
246	-592.1995	-618.8942	26.69472	1.747183	1.189157	0.06783866	3.776497
252	-585.3236	-611.2679	25.94429	1.939756	2.024289	0.1064621	3.657811
258	-585.7355	-614.6387	28.90317	1.323511	1.258596	0.8213992	1.640517
264	-589.7392	-615.5258	25.78661	2.471377	1.660847	2.038216	2.117304
270	-623.5235	-651.2721	27.74863	3.03489	0.7985922	2.038216	0.3985835
276	-622.2505	-648.574	26.32348	3.517157	1.795607	2.038216	0.7864632
282	-603.5045	-629.3101	25.80567	2.669504	1.345751	4.807024	1.346935
288	-615.9835	-644.8159	28.83246	2.199825	3.373891	0.1948171	0.922265
294	-621.2314	-648.4503	27.21893	3.658776	1.885444	0.816166	0.4929349
300	-603.5128	-632.0237	28.51092	1.8619	1.728917	0.5947844	1.493169
306	-623.7665	-650.0358	26.26932	5.846482	1.810565	0.1390553	0.7538508
312	-618.8584	-642.0294	23.17101	5.984427	1.810565	3.738338	0.3788928
318	-621.5376	-646.7316	25.19403	3.453787	3.749264	2.781005	0.4003236
324	-629.3921	-655.1205	25.72842	3.453787	0.7796582	6.990081	0.446868
330	-604.2744	-629.6828	25.40838	4.121331	1.651213	3.055835	0.3898153
336	-616.5687	-641.0427	24.474	2.234553	1.651213	0.8629021	3.624126
342	-622.4955	-651.0699	28.57442	3.062885	1.721198	0.2279397	1.044623
348	-616.6801	-645.3859	28.70575	3.062885	1.141065	0.4543683	0.2607478
354	-604.0202	-632.773	28.75286	3.049052	1.222048	0.1734675	1.364427
360	-608.3473	-637.3595	29.01219	2.095024	1.357154	0.3365705	1.484454
366	-621.7719	-650.549	28.77715	3.249392	0.780421	0.3858193	1.104957
372	-622.8394	-651.7123	28.87288	3.249392	0.7345094	0.2440353	1.344959
378	-618.1765	-645.4548	27.2783	2.902161	0.9068656	2.792986	0.7883663
384	-614.8337	-643.662	28.82825	2.528745	1.318999	0.6776289	0.744711
390	-610.7967	-639.2583	28.46153	2.634517	1.318999	0.2096894	1.744125
396	-613.1777	-640.5612	27.38347	4.104527	0.8053948	1.074426	0.4198768
