Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-544.5095	-572.4208	27.91132	0.0127678	0.0150657	0.0179659	0.00260926	0.0624706	0.00869201	0.0720312	0.00691668	0.0405001	0.00987645	0.0878106	0.026047	0.0444059	0.0478251	0.000632231	0.0767524	0.024316	0.0257001	0.00154954	0.074895	0.0267992	0.0252946	0.0116014	0.00780777	0.0630909	0.107992	0.0409435	0.0519367	0.0217549	1.41601	0.833596	0.5771069	1.422893	0.0317951	0.186036	0.591736	1.68994	5.3753	31.4514	2.493462	2.465563	0.6794701	0.0125662	0.0148278	0.0176821	0.00256805	0.0614838	0.00855471	0.0708934	0.00680742	0.0398603	0.00972044	0.0864234	0.0256356	0.0437045	0.0470696	0.000622244	0.0755399	0.0239319	0.0252941	0.00152506	0.0737119	0.0263759	0.024895	0.0114181	0.00768443	0.0620943	0.106286	0.0402967	0.0511163	0.0214112	0.711447	0.288553	1.01605
30	-544.19	-572.4933	28.30329	0.0182552	0.0157906	0.0219868	0.00492603	0.06689	0.0214269	0.173608	0.0166166	0.029325	0.0211205	0.0176927	0.0552279	0.0405452	0.162398	0.0378411	0.19329	0.0756521	0.134914	0.00359316	0.0914431	0.0474489	0.0154971	0.135792	0.0999728	0.000845626	0.0468429	0.0718962	0.0469076	0.125818	1.14806	0.940775	0.7994054	1.200595	0.0649759	0.263619	0.659713	1.51581	3.79336	15.3903	1.976681	1.501859	0.4881341	0.0101781	0.00880406	0.0122587	0.0027465	0.0372944	0.0119466	0.0967951	0.00926459	0.0163501	0.0117757	0.00986454	0.0307923	0.0226059	0.0905447	0.0210983	0.107769	0.0421798	0.075221	0.00200336	0.050984	0.0264551	0.00864038	0.0757106	0.0557397	0.000471478	0.0261172	0.0400856	0.0261533	0.0701499	0.600297	0.399703	1.793565
60	-534.0245	-562.1091	28.08459	0.0656681	0.017361	0.066525	0.0272186	0.118129	0.0135519	0.144446	0.00516233	0.0342497	0.0286696	0.155348	0.0838256	0.121229	0.242089	0.00913959	0.181506	0.0147453	0.136948	0.0324008	0.0400258	0.0485487	0.145876	0.0521385	0.0516583	0.0486476	0.0466611	0.0639726	0.152569	0.0188645	0.563117	1.17475	0.5044363	1.495564	0.127711	0.366527	0.731154	1.3677	2.72832	7.83017	1.488065	2.964821	0.1917395	0.0303013	0.0080109	0.0306967	0.0125595	0.0545085	0.00625328	0.0666518	0.00238206	0.0158039	0.013229	0.0716822	0.0386797	0.0559387	0.111707	0.00421729	0.0837523	0.00680394	0.0631918	0.0149507	0.0184691	0.0224019	0.0673117	0.0240583	0.0238367	0.0224475	0.0215309	0.0295189	0.0703998	0.00870465	0.747782	0.252218	2.167173
90	-537.6771	-564.6544	26.97728	0.0243246	0.0173525	0.0578358	0.0115115	0.152724	0.0147953	0.335484	0.00812303	0.00816287	0.0155358	0.382028	0.151727	0.278802	0.220417	0.0185503	0.185215	0.0479511	0.113118	0.0370425	0.0652693	0.19093	0.209022	0.0583605	0.0536705	0.00984417	0.168973	0.0670679	0.0989554	0.0160468	0.19944	1.32022	0.3360913	1.663909	0.234115	0.492571	0.801781	1.24722	2.03016	4.2714	1.049854	4.950764	0.06042612	0.00805759	0.00574806	0.0191583	0.00381321	0.0505903	0.00490098	0.11113	0.00269078	0.00270397	0.00514627	0.126548	0.05026	0.0923539	0.0730139	0.00614484	0.061353	0.0158839	0.0374708	0.0122704	0.0216206	0.0632463	0.0692391	0.0193321	0.0177785	0.00326091	0.055973	0.0222165	0.0327793	0.00531555	0.831954	0.168046	3.018842
120	-551.9441	-579.6671	27.72301	0.000377306	0.00166471	0.00252297	0.00232075	0.012585	0.00314869	0.014685	0.00357645	0.00100579	0.00148868	0.0104615	0.00974711	0.0175086	0.00717608	0.00843705	0.0283792	0.00964167	0.00781626	0.00741544	0.00576356	0.00200011	0.00368514	0.00210879	0.000226514	0.0111113	0.00201158	0.00522465	0.00531585	0.000364604	1.46398	0.814409	0.6910657	1.308934	0.0178023	0.140202	0.541755	1.84585	7.13259	56.1725	2.91283	1.894081	0.7190377	0.0020094	0.00886566	0.0134365	0.0123595	0.0670231	0.0167688	0.0782074	0.0190469	0.00535651	0.0079282	0.0557146	0.0519098	0.0932447	0.0382173	0.0449328	0.151138	0.0513482	0.0416267	0.0394921	0.0306948	0.0106519	0.0196258	0.0112307	0.00120633	0.0591747	0.010713	0.0278247	0.0283104	0.00194175	0.654467	0.345533	0.1877703
150	-535.5189	-564.392	28.87311	0.00817545	0.00516753	0.0124164	0.0137644	0.0439428	0.0153956	0.0641834	0.0305181	0.0120351	0.0099196	0.111357	0.0578104	0.0733298	0.0904473	0.0380755	0.120174	0.057185	0.0463585	0.010955	0.0497733	0.00624536	0.0078459	0.0257173	0.00776748	0.0742026	0.0442073	0.033816	0.0391766	0.0243553	1.40213	0.839146	0.685098	1.314902	0.0927643	0.313609	0.696438	1.43588	3.18868	10.78	1.719236	1.91929	0.6683626	0.00720737	0.00455563	0.0109461	0.0121345	0.0387394	0.0135725	0.0565832	0.0269043	0.01061	0.00874499	0.0981712	0.0509649	0.0646466	0.0797371	0.0335668	0.105944	0.0504136	0.040869	0.00965779	0.0438795	0.00550583	0.00691684	0.022672	0.00684771	0.065416	0.0389726	0.0298117	0.0345376	0.0214713	0.657451	0.342549	1.134318
180	-541.34	-568.0016	26.66159	0.0443804	0.0918767	0.136253	0.00193977	0.235053	0.0138938	0.199415	0.0481304	0.032254	0.0546866	0.113904	0.207595	0.0670479	0.323128	0.0417628	0.238226	0.0445215	0.0574103	0.0393391	0.147617	0.00974417	0.25688	0.0901595	0.0736715	0.266459	0.157779	0.0894784	0.272292	0.0584419	0.999127	1.00035	0.8379174	1.162083	0.172979	0.424979	0.765698	1.306	2.35306	5.78105	1.268686	1.38687	0.3995112	0.013002	0.026917	0.0399178	0.000568291	0.068863	0.00407045	0.0584224	0.0141007	0.0094494	0.0160214	0.0333702	0.0608188	0.0196429	0.0946663	0.0122352	0.0697925	0.0130434	0.0168194	0.0115251	0.043247	0.00285473	0.0752576	0.0264139	0.0215834	0.078064	0.0462243	0.0262143	0.079773	0.0171216	0.581041	0.418959	3.41334
210	-538.2533	-563.9664	25.71318	0.0447703	0.0857207	0.122842	0.0121729	0.160939	0.0517341	0.394805	0.0177467	0.0227915	0.0200775	0.0493274	0.0270553	0.0774542	0.258375	0.0159352	0.380555	0.268765	0.16381	0.122314	0.110019	0.167063	0.155846	0.0909517	0.0798959	0.316673	0.0292333	0.19589	0.263841	0.0871819	0.893871	1.04245	0.6131324	1.386868	0.21322	0.470618	0.790457	1.26509	2.12487	4.68998	1.117451	2.261938	0.3429881	0.011801	0.022595	0.0323797	0.00320863	0.0424217	0.0136365	0.104066	0.00467783	0.00600759	0.0052922	0.0130022	0.00713148	0.0204161	0.0681047	0.00420035	0.10031	0.0708434	0.0431786	0.0322406	0.0289999	0.044036	0.0410793	0.0239739	0.0210597	0.0834714	0.00770557	0.0516345	0.0695455	0.0229802	0.693434	0.306566	3.793785
240	-540.7635	-569.1112	28.34775	0.0350076	0.0521828	0.033405	0.0726379	0.153682	0.0151505	0.150897	0.0135917	0.00253563	0.0511007	0.0312322	0.0372337	0.0751048	0.234734	0.00477486	0.167402	0.0436674	0.0836749	0.00528851	0.0797358	0.0778535	0.193456	0.122507	0.0649906	0.055296	0.115959	0.0934042	0.0857215	0.0355734	0.605884	1.15765	0.7256393	1.274361	0.0862064	0.302594	0.688712	1.45198	3.30476	11.6001	1.772249	1.75619	0.2093501	0.0160013	0.0238517	0.0152688	0.0332013	0.0702448	0.00692501	0.0689723	0.00621252	0.00115898	0.0233571	0.0142756	0.0170188	0.0343289	0.107292	0.00218249	0.076516	0.0199595	0.0382462	0.00241727	0.0364457	0.0355853	0.0884248	0.0559954	0.0297059	0.0252747	0.0530024	0.0426932	0.0391816	0.0162599	0.63718	0.36282	2.187799
270	-548.2547	-575.767	27.51229	0.0192524	0.0673708	0.0421351	0.00330072	0.182449	0.0204945	0.101506	0.0446505	0.000495681	0.0246564	0.134292	0.106751	0.130655	0.156637	0.00651725	0.186972	0.0141869	0.0422291	0.000863695	0.0441755	0.0364659	0.237341	0.0879078	0.022333	0.00977904	0.0787313	0.116954	0.037215	0.0134325	1.14637	0.941452	0.4725412	1.527459	0.110474	0.341503	0.7152	1.39821	2.92823	9.05194	1.592906	3.232435	0.4870652	0.00977404	0.0342028	0.0213911	0.00167571	0.0926254	0.0104047	0.0515324	0.0226681	0.000251647	0.0125176	0.0681772	0.0541951	0.0663306	0.0795211	0.00330867	0.0949216	0.00720242	0.0214388	0.00043848	0.022427	0.018513	0.120493	0.044629	0.011338	0.00496461	0.0399702	0.059375	0.0188933	0.00681941	0.763729	0.236271	1.969748
