Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-686.8064	-714.4184	27.61193	0.00795472	0.00444509	0.0300085	0.00250895	0.00679087	0.0118184	0.00315915	0.00743707	0.00451879	0.0291169	0.0118293	0.000227146	0.0673779	0.0020328	0.0435125	0.00892994	0.00797742	0.0150448	0.0296988	0.0153052	0.0396443	0.0163105	0.00443406	0.00871538	0.00856459	0.00831647	0.000722877	0.0160029	0.00240165	0.47291	1.21084	0.4862438	1.513756	0.00477253	0.0737768	0.443416	2.25522	13.5544	209.533	3.864716	3.113163	0.1562259	0.0191769	0.010716	0.0723433	0.00604847	0.0163712	0.0284913	0.00761594	0.017929	0.0108937	0.0701939	0.0285177	0.000547595	0.162432	0.0049006	0.104898	0.0215279	0.0192316	0.0362694	0.0715967	0.0368972	0.095573	0.0393206	0.0106894	0.0210107	0.0206472	0.020049	0.00174268	0.0385792	0.0057898	0.756878	0.243122	0.4148071
30	-656.2691	-684.3957	28.12662	0.0317327	0.031675	0.0273453	0.0037241	0.0121781	0.159626	0.00763901	0.163178	0.0114533	0.145973	0.0688713	0.0146123	0.0682338	0.0100662	0.169509	0.169126	0.0298702	0.0844052	0.222363	0.0763869	0.0581612	0.0279041	0.00990439	0.0217239	0.0394603	0.0243367	0.0134747	0.0257914	0.0208881	0.450444	1.21982	0.6895712	1.310429	0.0222158	0.156193	0.560322	1.78469	6.40232	45.013	2.752689	1.900353	0.1477082	0.018137	0.018104	0.0156294	0.00212853	0.00696047	0.0912353	0.00436611	0.0932652	0.0065462	0.0834316	0.0393637	0.00835172	0.0389994	0.0057534	0.0968835	0.0966648	0.0170725	0.0482422	0.127092	0.0436593	0.0332423	0.0159487	0.0056609	0.0124164	0.0225537	0.0139098	0.00770151	0.0147412	0.0119387	0.655214	0.344786	1.749613
60	-666.9578	-694.72	27.76219	0.00987572	0.000531492	0.00710868	0.0013626	2.55962e-05	0.00637159	0.00411134	0.00734104	0.00697701	0.00330061	0.00521287	0.0116228	0.00961713	0.00618367	0.037277	0.00719938	0.00222596	0.000881485	0.00682376	0.00723248	0.00145691	0.00309098	0.0027568	0.00254687	0.00121195	0.00161725	0.000266481	0.00782853	0.0116162	1.11139	0.955444	0.6056204	1.39438	0.0164869	0.13505	0.535464	1.86754	7.40467	60.6542	2.968334	2.302399	0.4652874	0.0568635	0.00306029	0.0409311	0.00784572	0.000147381	0.036687	0.0236727	0.0422691	0.040173	0.0190046	0.0300153	0.0669229	0.0553745	0.035605	0.214637	0.0414534	0.0128169	0.00507551	0.0392906	0.0416439	0.00838876	0.0177976	0.0158734	0.0146646	0.00697832	0.00931195	0.00153437	0.0450759	0.0668852	0.69719	0.30281	0.1736741
90	-654.0877	-679.8097	25.72202	0.0171139	0.00759346	0.247396	0.0190421	0.0211351	0.00782788	0.0820245	0.0672543	0.0655436	0.131897	0.0842293	0.0913953	0.0797632	0.285213	0.34795	0.408309	0.216465	0.0257191	0.0406152	0.0481548	0.020815	0.0960035	0.456155	0.208735	0.10048	0.12576	0.0145937	0.00888093	0.166998	1.09912	0.960353	0.8179629	1.182037	0.0702801	0.273903	0.667637	1.49782	3.65092	14.2288	1.91994	1.445099	0.4577966	0.0048994	0.00217387	0.0708251	0.00545141	0.0060506	0.00224098	0.0234821	0.0192537	0.0187639	0.0377597	0.0241133	0.0261648	0.0228347	0.0816514	0.0996118	0.116891	0.06197	0.0073629	0.0116274	0.0137858	0.00595895	0.027484	0.130589	0.0597571	0.0287654	0.0360029	0.0041779	0.00254245	0.0478085	0.591019	0.408981	3.493064
120	-670.3294	-696.2463	25.91691	0.000348675	0.00104284	0.0221283	0.00147367	0.00155946	0.000982484	0.0131321	0.0171778	0.0307386	0.017405	0.0154756	0.0112174	0.00430151	0.00925659	0.019679	0.0266944	0.0285645	0.00415583	0.00578011	0.00748648	0.0355875	0.02727	0.0621847	0.00299711	0.00882446	0.0119877	0.00105423	0.00117192	0.0133719	1.9873	0.605079	1.324098	0.6759018	0.000347326	0.0205546	0.297618	3.36002	48.6509	2879.14	5.759421	0.510462	1.313749	0.000865091	0.00258737	0.0549022	0.0036563	0.00386915	0.00243762	0.0325819	0.0426195	0.0762649	0.0431832	0.0383963	0.0278313	0.0106724	0.0229664	0.0488252	0.0662309	0.0708708	0.010311	0.0143409	0.0185746	0.0882956	0.0676591	0.154285	0.00743607	0.0218942	0.0297426	0.00261563	0.00290763	0.0331767	0.337951	0.662049	0.4030499
150	-694.8326	-723.9919	29.15927	0.0324345	0.00641311	0.0404293	0.0058098	0.00801507	0.0121732	0.0922577	0.0792426	0.0246336	0.0686175	0.050243	0.104235	0.206223	0.0420928	0.0991351	0.10524	0.119448	0.0423792	0.0598402	0.00608719	0.1403	0.10216	0.303685	0.0572469	0.0211953	0.00977504	0.000861802	0.0722818	0.0578916	0.433822	1.22647	1.078084	0.9219156	0.0435125	0.216795	0.620668	1.61117	4.61266	22.9819	2.266609	0.8551423	0.1414863	0.0164613	0.00325481	0.0205189	0.00294862	0.00406784	0.00617821	0.046823	0.0402176	0.0125022	0.0348251	0.0254996	0.0529018	0.104663	0.0213631	0.0503135	0.0534118	0.0606227	0.0215085	0.0303704	0.0030894	0.0712059	0.0518487	0.154128	0.0290542	0.0107572	0.00496108	0.000437386	0.0366848	0.0293814	0.460958	0.539042	1.970347
180	-684.6452	-709.3528	24.70759	0.0550474	0.0309184	0.0465513	0.0342299	0.0459528	0.00963589	0.0516085	0.0119662	0.0697829	0.0269714	0.0306798	0.0327291	0.0824191	0.0296814	0.0715498	0.0465276	0.00619838	0.0652199	0.0427975	0.030741	0.0191936	0.00256514	0.1239	0.0135899	0.00781006	0.00928097	0.000318867	0.0388347	0.0359043	1.57547	0.769812	0.08239495	1.917605	0.0559895	0.245159	0.64494	1.55053	4.07898	17.8605	2.084312	23.27333	0.8186266	0.0513212	0.0288255	0.0434002	0.0319128	0.0428422	0.00898362	0.0481151	0.0111562	0.0650592	0.0251456	0.0286031	0.0305136	0.07684	0.0276723	0.0667065	0.0433781	0.0057788	0.0608051	0.0399005	0.0286601	0.0178944	0.0023915	0.115513	0.0126699	0.00728139	0.00865273	0.000297283	0.0362059	0.0334739	0.958803	0.0411975	1.072606
210	-663.4904	-689.7754	26.28493	0.144223	0.0372145	0.0430797	0.0228828	0.110639	0.0279462	0.109795	0.0653571	0.109434	0.0439402	0.00914331	0.0629936	0.0390274	0.175174	0.0641181	0.0558515	0.0502226	0.265975	0.0761636	0.0743138	0.0391432	0.138911	0.0100463	0.0399118	0.0619598	0.0599289	0.00404726	0.0271681	0.0563056	2.03809	0.584763	1.031948	0.9680521	0.012904	0.119838	0.515868	1.93848	8.34457	77.4952	3.145506	0.9380823	1.394132	0.0712242	0.0183783	0.0212748	0.0113006	0.0546387	0.0138012	0.0542221	0.0322765	0.0540439	0.0216998	0.0045154	0.0311093	0.0192736	0.0865094	0.0316646	0.0275821	0.0248023	0.131351	0.0376132	0.0366997	0.0193308	0.0686007	0.00496133	0.0197103	0.0305987	0.0295958	0.00199873	0.0134169	0.0278064	0.484026	0.515974	2.024917
240	-724.3774	-749.4799	25.1025	0.0587721	0.0798505	0.0619192	0.0378691	0.0882186	0.0235002	0.069541	0.0543312	0.0293718	0.0607481	0.00811587	0.031944	0.0224191	0.117904	0.0136314	0.0496764	0.0540263	0.148128	0.033858	0.029871	0.100787	0.00471338	0.121113	0.00555446	0.0213094	0.0333758	0.00191385	0.0346461	0.0945068	3.18955	0.124178	0.800198	1.199802	0.0685512	0.270596	0.665112	1.50351	3.69554	14.5876	1.937951	1.499381	10.27409	0.0394017	0.0535329	0.0415115	0.025388	0.059143	0.0157548	0.0466213	0.0364244	0.0196913	0.0407264	0.00544099	0.0214157	0.0150301	0.0790443	0.0091387	0.0333038	0.03622	0.0993069	0.0226989	0.0200259	0.0675689	0.00315991	0.0811961	0.00372379	0.0142861	0.0223756	0.00128307	0.0232273	0.0633587	0.599901	0.400099	1.491615
270	-709.5541	-735.6007	26.04665	0.0261323	0.0108956	0.00883177	0.0508278	0.0124845	0.0141365	0.00466672	0.0205266	0.0301184	0.0104412	0.00229916	0.00463196	0.00290026	0.0207043	0.0183495	0.000642814	0.036463	0.00111066	0.020634	0.00987288	0.00570999	0.000874894	0.00168436	0.00512964	0.00270328	0.0305393	0.00196182	0.0114813	0.026773	0.99335	1.00266	0.2332012	1.766799	0.00715417	0.08988	0.471587	2.1205	11.1259	139.779	3.572004	7.576284	0.3962859	0.0664052	0.027687	0.0224426	0.12916	0.0317247	0.0359225	0.0118587	0.0521605	0.0765345	0.0265323	0.00584243	0.0117704	0.0073699	0.0526122	0.0466283	0.00163347	0.0926569	0.00282231	0.0524335	0.0250882	0.0145098	0.00222321	0.00428016	0.013035	0.00686936	0.077604	0.00498522	0.0291752	0.0680333	0.883399	0.116601	0.3935277
